"thread_id","noi_dung_hoi","ma_mon","ten_truong"
"29111","<p>
	đ&aacute;p &aacute;n v&agrave; c&acirc;u giải th&iacute;ch kh&aacute;c nhau</p>
","ECO102","HOU"
"35178","<p>
	Ch&agrave;o Thầy !</p>
<p>
	Mở LC ở ng&acirc;n h&agrave;ng l&agrave; g&igrave; ?.Mục đ&iacute;ch của việc mở LC.</p>","ECO102","HOU"
"44824","<p>
	Em ch&agrave;o QLHT, Em l&agrave; học vi&ecirc;n của lớp O19-nh&oacute;m 3. Cho em hỏi, em kh&ocirc;ng thấy B&agrave;i Tập Về Nh&agrave; của m&ocirc;n QT102, kh&ocirc;ng biết trang web của em c&oacute; bị lổi g&igrave; kh&ocirc;ng, mong c&ocirc; trả lời sớm gi&uacute;p em. Em c&aacute;m ơn c&ocirc; QLHT rất nhiều.</p>
","QT102","HOU"
"45094","<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	Ch&agrave;o QLHT!</p>
<p>
	Hiện tại&nbsp;t&ocirc;i muốn download to&agrave;n bộ&nbsp;T&agrave;i liệu học tập của m&ocirc;n học QT102 (To&agrave;n bộ Gi&aacute;o tr&igrave;nh ho&agrave;nchỉnh kh&ocirc;ng chia nhỏ từng b&agrave;i học)nhưng kh&ocirc;ng biết download&nbsp;ở&nbsp;đ&acirc;u.</p>
<p>
	Xin vui l&ograve;ng cho biết&nbsp;nơi n&agrave;o&nbsp;để t&ocirc;i c&oacute; thể&nbsp;download t&agrave;i liệu n&agrave;y đượckh&ocirc;ng.</p>
<p>
	Cảm&nbsp;ơn QLHT</p>
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
","QT102","HOU"
"45256","<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	Thưa HT247 !</p>
<p>
	Cho em hỏi việc t&iacute;nh&nbsp;điểm chuy&ecirc;n cần trong BTTN - th&igrave; v&iacute; dụ em l&agrave;m 1 b&agrave;i nhiều lần th&igrave; c&oacute;&nbsp;được t&iacute;nh&nbsp;điểm CC kh&ocirc;ng? hay chỉ t&iacute;nh duy nhất 1 lần duy nhất&nbsp;đ&oacute; th&ocirc;i.</p>
<p>
	EX: &nbsp;Trong 1 m&ocirc;n học:</p>
<p>
	lần 1&nbsp;đ&aacute;t 8&nbsp;điểm -&gt; 1&nbsp;điểm chuy&ecirc;n cần</p>
<p>
	lần 2&nbsp;đạt 7&nbsp;điểm -&gt; ? c&oacute;&nbsp;được cộng th&ecirc;m th&agrave;nh 2&nbsp;điểm CC ko ?</p>
<p>
	&nbsp;</p>
<p>
	Em cảm&nbsp;ơn</p>
<p>
	&nbsp;</p>
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
","QT102","HOU"
"45633","<p>
	Thưa thầy!!</p>
<p>
	&nbsp; em chưa hiểu lắm về qu&aacute; tr&igrave;nh tạo tiền của hệ thống ng&acirc;n h&agrave;ng thương mại.</p>
<p>
	&nbsp;mong thầy giải thich th&ecirc;m.</p>
<p>
	&nbsp;em cam ơn</p>
","QT102","HOU"
"45634","<p>
	<span style=""font-weight: bold;""><font size=""3"">Thưa thầ(c&ocirc;)</font></span>.</p>
<p>
	<span style=""font-weight: bold;""><font size=""3"">Trong nền kinh tế, khi gi&aacute; của&nbsp; tất cả c&aacute;c yếu tố đầu v&agrave;o của sản xuất tăng l&ecirc;n th&igrave; xuất hiện t&igrave;nh trạng lạm ph&aacute;t l&agrave; điều tất yếu.Vậy nguy&ecirc;n nh&acirc;n dẫn đến t&igrave;nh trạng lạm ph&aacute;t l&agrave; g&igrave;?</font></span></p>
<p>
	<span style=""font-weight: bold;""><font size=""3"">Em cam ơn!</font></span></p>
","QT102","HOU"
"45655","<p>
	Ch&agrave;o QLHT!</p>
<p>
	cho em hỏi lạm ph&aacute;t l&agrave; g&igrave;?, tại sao lại goi l&agrave; lạm ph&aacute;t?. em xin ch&acirc;n th&agrave;nh c&aacute;m ơn</p>
","QT102","HOU"
"45691","<div class=""detail-des"" style=""color: rgb(0, 0, 0); font-family: Arial, Tahoma, Verdana;"">
	<p>
		Ch&agrave;o thầy c&ocirc;,</p>
	<p>
		Cho em hỏi lạm ph&aacute;t l&agrave; g&igrave;?, tại sao lại goi l&agrave; lạm ph&aacute;t?. em xin ch&acirc;n th&agrave;nh c&aacute;m ơn</p>
	<div>
		&nbsp;</div>
</div>
","QT102","HOU"
"45692","<p style=""color: rgb(0, 0, 0); font-family: Arial, Tahoma, Verdana;"">
	<span style=""font-weight: bold;""><font size=""3"">Thưa thầy c&ocirc; ,cho em hỏi</font></span></p>
<p style=""color: rgb(0, 0, 0); font-family: Arial, Tahoma, Verdana;"">
	<span style=""font-weight: bold;""><font size=""3"">Trong nền kinh tế, khi gi&aacute; của&nbsp; tất cả c&aacute;c yếu tố đầu v&agrave;o của sản xuất tăng l&ecirc;n th&igrave; xuất hiện t&igrave;nh trạng lạm ph&aacute;t l&agrave; điều tất yếu.Vậy nguy&ecirc;n nh&acirc;n dẫn đến t&igrave;nh trạng lạm ph&aacute;t l&agrave; g&igrave;?</font></span></p>
<p style=""color: rgb(0, 0, 0); font-family: Arial, Tahoma, Verdana;"">
	<span style=""font-weight: bold;""><font size=""3"">Em cảm ơn</font></span></p>
","QT102","HOU"
"45693","<p style=""color: rgb(0, 0, 0); font-family: Arial, Tahoma, Verdana;"">
	Thưa thầy,c&ocirc; cho em hỏi</p>
<p style=""color: rgb(0, 0, 0); font-family: Arial, Tahoma, Verdana;"">
	&nbsp; em chưa hiểu lắm về qu&aacute; tr&igrave;nh tạo tiền của hệ thống ng&acirc;n h&agrave;ng thương mại.</p>
<p style=""color: rgb(0, 0, 0); font-family: Arial, Tahoma, Verdana;"">
	&nbsp;mong thầy giải thich th&ecirc;m.</p>
<p style=""color: rgb(0, 0, 0); font-family: Arial, Tahoma, Verdana;"">
	&nbsp;em cam ơn</p>
","QT102","HOU"
"45694","<p style=""color: rgb(0, 0, 0); font-family: Arial, Tahoma, Verdana;"">
	Ch&agrave;o QLHT!</p>
<p style=""color: rgb(0, 0, 0); font-family: Arial, Tahoma, Verdana;"">
	Hiện tại&nbsp;t&ocirc;i muốn download to&agrave;n bộ&nbsp;T&agrave;i liệu học tập của m&ocirc;n học QT102 (To&agrave;n bộ Gi&aacute;o tr&igrave;nh ho&agrave;nchỉnh kh&ocirc;ng chia nhỏ từng b&agrave;i học)nhưng kh&ocirc;ng biết download&nbsp;ở&nbsp;đ&acirc;u.</p>
<p style=""color: rgb(0, 0, 0); font-family: Arial, Tahoma, Verdana;"">
	Xin vui l&ograve;ng cho biết&nbsp;nơi n&agrave;o&nbsp;để t&ocirc;i c&oacute; thể&nbsp;download t&agrave;i liệu n&agrave;y đượckh&ocirc;ng.</p>
<p style=""color: rgb(0, 0, 0); font-family: Arial, Tahoma, Verdana;"">
	Cảm&nbsp;ơn QLHT</p>
","QT102","HOU"
"45695","<div class=""detail-des"" style=""color: rgb(0, 0, 0); font-family: Arial, Tahoma, Verdana;"">
	<p>
		Em ch&agrave;o QLHT</p>
	<p>
		. Cho em hỏi, em kh&ocirc;ng thấy B&agrave;i Tập Về Nh&agrave; của m&ocirc;n QT102, kh&ocirc;ng biết trang web của em c&oacute; bị lổi g&igrave; kh&ocirc;ng, mong c&ocirc; trả lời sớm gi&uacute;p em. Em c&aacute;m ơn c&ocirc; QLHT rất nhiều.</p>
	<div>
		&nbsp;</div>
</div>
","QT102","HOU"
"45696","<p style=""color: rgb(0, 0, 0); font-family: Arial, Tahoma, Verdana;"">
	Thưa thầy,c&ocirc;</p>
<p style=""color: rgb(0, 0, 0); font-family: Arial, Tahoma, Verdana;"">
	Cho em hỏi</p>
<p style=""color: rgb(0, 0, 0); font-family: Arial, Tahoma, Verdana;"">
	&nbsp; em chưa hiểu lắm về qu&aacute; tr&igrave;nh tạo tiền của hệ thống ng&acirc;n h&agrave;ng thương mại.</p>
<p style=""color: rgb(0, 0, 0); font-family: Arial, Tahoma, Verdana;"">
	&nbsp;mong thầy giải thich th&ecirc;m.</p>
<p style=""color: rgb(0, 0, 0); font-family: Arial, Tahoma, Verdana;"">
	&nbsp;em cam ơn</p>
","QT102","HOU"
"45714","<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	Thưa thầy c&ocirc; cho em hỏi l&agrave; nguy&ecirc;n nh&acirc;n g&acirc;y ra sự lạm ph&aacute;t?</p>
<p>
	Em c&aacute;m&nbsp;ơn thầy c&ocirc;!</p>
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
","QT102","HOU"
"45715","<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	Thưa thầy c&ocirc; cho em hỏi kh&aacute;i niệm về lạm ph&aacute;t l&agrave; như thế n&agrave;o ?</p>
<p>
	Em c&aacute;m&nbsp;ơn thầy c&ocirc;!</p>
<br />
<br />
<br />
<br />
<br />
<br />
<br />
","QT102","HOU"
"45716","<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	Thưa thầy c&ocirc; cho em hỏi khi lạm ph&aacute;t xảy ra th&igrave; c&oacute; xảy ra b&ugrave;ng nổ kinh tế kh&ocirc;ng?</p>
<p>
	Em c&aacute;m&nbsp;ơn thầy c&ocirc;!</p>
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
","QT102","HOU"
"45717","<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	Thưa thầy c&ocirc; cho em hỏi khi xảy ra b&ugrave;ng nổ kinh tế th&igrave; nhu thế n&agrave;o n&oacute;i khắc phục t&igrave;nh trạng&nbsp;đ&oacute;?</p>
<p>
	Em c&aacute;m&nbsp;ơn thầy c&ocirc;!</p>
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
","QT102","HOU"
"48973","<p>
	Thưa Thầy!!</p>
<p>
	Mong thầy gi&uacute;p em giải đ&aacute;p thắc mắc về b&agrave;i tập nh&oacute;m m&ocirc;n QT102 ạ:</p>
<p>
	1. Trong b&agrave;i tập nh&oacute;m n&agrave;y c&oacute; cần l&agrave;m File đ&aacute;nh gi&aacute; ch&eacute;o giữa c&aacute;c th&agrave;nh vi&ecirc;n kh&ocirc;ng ạ? Tại em thấy mấy b&agrave;i tập nh&oacute;m trước c&oacute; đ&aacute;nh gi&aacute;.</p>
<p>
	2. Trong File b&agrave;i tập Thầy c&oacute; ghi:</p>
<p>
	&quot;T&iacute;nh tổ chức chiếm 40% theo c&aacute;c ti&ecirc;u ch&iacute; sau:&nbsp;</p>
<div>
	+ Bản th&acirc;n định dạng của kế hoạch&nbsp;</div>
<div>
	+ Khả năng giữ tiến độ của c&aacute;c th&agrave;nh vi&ecirc;n&nbsp;</div>
<div>
	+ Khả năng phối hợp giữa c&aacute;c th&agrave;nh vi&ecirc;n (số lượng email, b&agrave;i viết diễn đ&agrave;n,&hellip;)&nbsp;</div>
<div>
	+ T&iacute;nh quản trị: B&aacute;o c&aacute;o, bi&ecirc;n bản họp,&hellip;&quot;</div>
<div>
	=&gt; L&agrave;m sao em c&oacute; thể b&aacute;o c&aacute;o những việc n&agrave;y.</div>
<div>
	Mong thầy gi&uacute;p em.&nbsp;</div>
<div>
	Em xin cảm ơn Thầy ạ.</div>","QT102","HOU"
"48975","<p>
	Thưa Thầy C&ocirc;, vui l&ograve;ng giải th&iacute;ch gi&uacute;p em cụm từ &quot; sản phẩm quốc d&acirc;n r&ograve;ng&quot;. Em c&aacute;m ơn.</p>
","QT102","HOU"
"49036","<p>
	Th&acirc;n Gửi Thầy/C&ocirc; :</p>
<p>
	Về chủ đề 4 &quot; Thất Nghiệp &quot; th&igrave; nội dung cuối c&ugrave;ng : *&nbsp;<span c=""\&quot;\&quot;"" chung=""\&quot;\&quot;"" font-size:=""\&quot;\&quot;"" i=""\&quot;\&quot;"" m=""\&quot;\&quot;"" n=""\&quot;\&quot;"" o=""\&quot;\&quot;"" p=""\&quot;\&quot;"" span=""\&quot;\&quot;"" style=""\&quot;\\&quot;font-family:\&quot;"" t=""\&quot;\&quot;"" trong=""\&quot;\&quot;"" u=""\&quot;\&quot;"">H&atilde;y n&ecirc;u v&agrave; ph&acirc;n t&iacute;ch được một số giải ph&aacute;p cơ bản nhằm hạ thấp tỷ lệ thất nghiệp ở Việt Nam trong giai đoạn hiện nay * hay kh&ocirc;ng ? hay l&agrave; chia ra 2 &yacute; ? Vậy nếu chia 2 &yacute; th&igrave; &yacute; cuối c&ugrave;ng l&agrave; cập nhập tới thời điểm b&aacute;o c&aacute;o l&agrave; sao ?</span></p>
<p>
	K&iacute;nh mong thầy c&ocirc; chia sẻ v&agrave; giải th&iacute;ch r&otilde; hơn để Nh&oacute;m được vấn đề m&igrave;nh sẽ l&agrave;m ? Em c&aacute;m ơn ?</p>
","QT102","HOU"
"49105","<p style=""color: rgb(0, 0, 0); font-family: Arial, Tahoma, Verdana;"">
	Ch&agrave;o Thầy !</p>
<p style=""color: rgb(0, 0, 0); font-family: Arial, Tahoma, Verdana;"">
	Thầy c&oacute; thể cho em xin files tổng hợp c&ocirc;ng thức v&agrave; giải th&iacute;ch tất cả c&aacute;c k&yacute; hiệu trong c&ocirc;ng thức trong m&ocirc;n Kinh tế vi m&ocirc; như m&ocirc;n Kinh tế vĩ m&ocirc; n&agrave;y dược kh&ocirc;ng ạ !</p>
<p style=""color: rgb(0, 0, 0); font-family: Arial, Tahoma, Verdana;"">
	Trong b&agrave;i học em theo d&otilde;i nhưng c&ograve;n chưa được hiểu r&otilde; lắm.</p>
<p style=""color: rgb(0, 0, 0); font-family: Arial, Tahoma, Verdana;"">
	Cảm ơn Thầy !</p>
","QT102","HOU"
"49159","<p>
	Thưa Thầy C&ocirc;, cho em hỏi, để l&agrave;m tốt b&agrave;i tập nh&oacute;m, nh&oacute;m trưởng đ&atilde; ph&acirc;n c&ocirc;ng nh&oacute;m em l&agrave;m đề t&agrave;i : &quot; ph&acirc;n t&iacute;ch một số giải ph&aacute;p cơ bản nhằm hạ thấp tỷ lệ thất nghiệp ở Việt Nam trong giai đoạn hiện nay&quot;. Để ho&agrave;n th&agrave;nh đề t&agrave;i n&agrave;y, em phải kiếm nguồn t&agrave;i liệu n&agrave;o hay nghi&ecirc;n cứu s&aacute;ch n&agrave;o để l&agrave;m b&agrave;i tốt v&agrave; nguồn tin ch&iacute;nh x&aacute;c. Em c&aacute;m ơn.</p>
","QT102","HOU"
"49210","<p>
	Thưa thầy cho em hỏi !</p>
<p>
	Cận bi&ecirc;n l&agrave; g&igrave; ? Mong thầy gi&aacute;o giải th&iacute;ch r&otilde; cho em hiểu về kh&aacute;i niệm cận bi&ecirc;n .</p>
<p>
	Em cảm ơn thầy nhiều !</p>
","QT102","HOU"
"49348","<p>
	&nbsp;thưa thầy c&ocirc; cho em hỏi : l&atilde;i suất chiết khấu l&agrave; sao ? cảm ơn thầy c&ocirc;.</p>
","QT102","HOU"
"49349","<p>
	ch&agrave;o thầy c&ocirc; cho em hoi l&agrave;; xuất khua63u rong l&agrave; g&igrave; ? cảm on thấy c&ocirc;</p>
","QT102","HOU"
"49350","<p>
	ch&agrave;o thầy c&ocirc; gi&aacute;o cho em hỏi: cầu tiền danh nghĩa v&agrave; cầu tiền thực tế giống , kh&aacute;c nhau như thế n&agrave;o?</p>
<p>
	cảm ơn thầy c&ocirc;</p>
","QT102","HOU"
"49351","<p>
	ch&agrave;o thầy c&ocirc; gi&aacute;o cho em hỏi: sự kh&aacute;c nhau giữa ngắn hạn v&agrave; d&agrave;i hạn trong tổng cung v&agrave; tổng cầu? cảm ơn thầy c&ocirc;&nbsp;</p>
","QT102","HOU"
"49375","<p>
	Thưa Thầy / C&ocirc; cho em hỏi !</p>
<p>
	Trong qua tr&igrave;nh t&igrave;m hiểu về tỉ lệ thất nghiệp (b&agrave;i tập nh&oacute;m), em c&oacute; v&agrave;i c&acirc;u hỏi như sau :</p>
<p>
	Hiện nay một số đ&ocirc;ng người d&acirc;n vẫn c&oacute; c&ocirc;ng vi&ecirc;c&nbsp; l&agrave;m hằng ng&agrave;y để mưu sinh cho cuộc sống (c&oacute; thu nhập) nhưng vẫn chưa được xem v&agrave; c&ocirc;ng nhận l&agrave; một &quot;nghề&quot; v&agrave; họ l&agrave; những người c&oacute; nằm trong số tỉ lệ những người thất nghiệp hiện nay kh&ocirc;ng ?</p>
<p>
	V&iacute; dụ c&aacute;c nghề :</p>
<p>
	- Chở h&agrave;ng thu&ecirc; : c&oacute; phương tiện để c&oacute; thu nhập (xe &ocirc;m, xe ba g&aacute;c ....)</p>
<p>
	- Chạy chợ, b&aacute;n bưng , g&aacute;nh h&agrave;ng rong : bằng xe đạp, xe m&aacute;y, g&aacute;nh .... vẫn c&oacute; thu nhập</p>
<p>
	- Ở thu&ecirc;, osin : vẫn c&oacute; thu nhập h&agrave;ng th&aacute;ng</p>
<p>
	- B&aacute;n v&eacute; số : cũng c&oacute; thu nhập</p>
<p>
	- Nhặt r&aacute;c, m&oacute;c bịch nylon, đồng n&aacute;t, ve chai ... cũng c&oacute; thu nhập</p>
<p>
	Đứng tr&ecirc;n g&oacute;c độ kinh tế vĩ m&ocirc; th&igrave; l&yacute; do tại sao như vậy (kh&ocirc;ng c&oacute; trong danh mục nghề) v&agrave; hướng giải quyết ra sao ?</p>
<p>
	C&aacute;m ơn Thầy/ C&ocirc; nhiều.</p>
","QT102","HOU"
"49394","<p>
	Thưa thầy/C&ocirc; cho em hỏi !</p>
<p>
	Sự kh&aacute;c nhau giữa ch&iacute;nh s&aacute;ch t&agrave;i kh&oacute;a v&agrave; ch&iacute;nh s&aacute;ch tiền tệ.</p>
<p>
	C&aacute;m ơn Thầy/ C&ocirc;</p>
","QT102","HOU"
"49403","<p>
	thưa th&acirc;̀y c&ocirc; , kinh t&ecirc;́ vĩ m&ocirc; th&acirc;̣t trừu tượng , làm th&ecirc;́ nào có th&ecirc;̉ học t&ocirc;́t m&ocirc;n này đ&acirc;y ạ , cảm ơn th&acirc;̀y c&ocirc; nhi&ecirc;̀u</p>
","QT102","HOU"
"49517","<p>
	Thưa thầy/c&ocirc; cho em hỏi:</p>
<p>
	-Trong b&agrave;i 6 của m&ocirc;n kinh tế vĩ m&ocirc; c&acirc;u hỏi trắc nghiệm 13 kh&ocirc;ng ghi r&otilde; đ&aacute;p &aacute;n đ&uacute;ng c&oacute; phải l&agrave; do kỹ thuật kh&ocirc;ng ạ!</p>
<p>
	-Em cảm ơn thầy /c&ocirc;!</p>","QT102","HOU"
"49539","<p>
	Thưa thầy c&ocirc; cho em hỏi ?</p>
<p>
	M&igrave;nh c&oacute; thể vận dụng kinh tế vĩ m&ocirc; v&agrave;o đời sống hằng ng&agrave;y được kh&ocirc;ng ạ ???. Xin c&aacute;m ơn thầy c&ocirc;</p>
<p>
	Huỳnh Trung Hiếu</p>
","QT102","HOU"
"49570","<p>
	Ch&agrave;o Qu&yacute; Thầy C&ocirc; !</p>
<p>
	Sinh vi&ecirc;n đọc nhiều lần nhưng b&agrave;i qu&aacute; nhiều. Nhưng kh&ocirc;ng nhớ được nhiều</p>
<p>
	1/&nbsp; M&ocirc; h&igrave;nh IS - LM</p>
<p>
	2 / Ch&iacute;nh s&aacute;ch t&agrave;i kh&oacute;a v&agrave; tiền tệ</p>
<p>
	Qu&yacute; Thầy C&ocirc; hướng dẫn sinh vi&ecirc;n c&aacute;ch học đạt kết quả tốt.</p>
<p>
	Ch&uacute;c Qu&yacute; Thầy C&ocirc; nhiều sức khỏe !</p>","QT102","HOU"
"49667","<p>
	Em ch&agrave;o thầy c&ocirc;,</p>
<p>
	cho em hỏi c&aacute;ch đ&aacute;nh gi&aacute; mỗi th&agrave;nh vi&ecirc;n trong nh&oacute;m khi tham gia b&agrave;i tập nh&oacute;m. Nếu c&oacute; bạn kh&ocirc;ng tham gia th&igrave; sẽ cho điểm như thế n&agrave;o?</p>
<p>
	Em cảm ơn</p>
","QT102","HOU"
"49754","<p>
	Chào QLHT,</p>
<p>
	Vui lòng cho bi&ecirc;́t trang web đánh giá các thành vi&ecirc;n trong&nbsp; bài t&acirc;̣p nhóm, b&acirc;y giờ đánh giá theo file excel hay trang web v&acirc;̣y? n&ecirc;́u là trang web thì vui lòng cho xin đường link.</p>
<p>
	Ch&acirc;n thành cám ơn!</p>
","QT102","HOU"
